"k_page_title"	"k_page_name"	"tips"	"statuss"	"lat"	"lon"	"mazais_lv"	"mazais_en"	"garums"	"datums"	"foto"	"apraksts_lv"	"apraksts_en"	"featured_image"	"my_image_thumb"
"Tylos kampelis"	"tylos-kampelis"	"pikniks"	"neparbaudits"	"54.634349348"	"25.7222589836"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Žvaigždutė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Žvaigždutė.aspx"">valstybiniaimiskai.lt</a>"		
"Žvaigždutė"	"vaigdute"	"pikniks"	"neparbaudits"	"54.6384064661"	"25.584462343"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Zvaigzdute.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Zvaigzdute.aspx"">valstybiniaimiskai.lt</a>"		
"Varkalabiškių poilsiavietė"	"varkalabiskiu-poilsiaviete"	"pikniks"	"neparbaudits"	"54.5379748126"	"25.4959474834"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Vilkorabiškių.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Vilkorabiškių.aspx"">valstybiniaimiskai.lt</a>"		
"Rakonys"	"rakonys"	"pikniks"	"neparbaudits"	"54.4867637957"	"25.4925947384"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Rakonys.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Rakonys.aspx"">valstybiniaimiskai.lt</a>"		
"Aidas"	"aidas"	"pikniks"	"neparbaudits"	"54.7165346625"	"25.6712248756"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/PolsiavietėAidas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/PolsiavietėAidas.aspx"">valstybiniaimiskai.lt</a>"		
"Žalioji pasaka"	"alioji-pasaka"	"pikniks"	"neparbaudits"	"54.6328595523"	"25.6860382125"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Zaliojipasaka.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Zaliojipasaka.aspx"">valstybiniaimiskai.lt</a>"		
"Prie upelio"	"prie-upelio"	"pikniks"	"neparbaudits"	"54.5506313325"	"25.3057974432"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Prieupelio.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Prieupelio.aspx"">valstybiniaimiskai.lt</a>"		
"Prie žvėrių tako"	"prie-veriu-tako"	"pikniks"	"neparbaudits"	"54.7155107305"	"25.6859306618"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Priezveriutako.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Priezveriutako.aspx"">valstybiniaimiskai.lt</a>"		
"Ežerėlis"	"eerelis"	"pikniks"	"neparbaudits"	"54.8749585962"	"25.1385120108"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Ežerėlis.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Ežerėlis.aspx"">valstybiniaimiskai.lt</a>"		
"Dviračių tako"	"dviraiu-tako"	"pikniks"	"neparbaudits"	"54.7553689003"	"25.3331874356"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Dviračiųtako.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Dviračiųtako.aspx"">valstybiniaimiskai.lt</a>"		
"Svyruonėlė"	"svyruonele"	"pikniks"	"neparbaudits"	"54.6003377031"	"25.5477441661"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Svyruonele.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Svyruonele.aspx"">valstybiniaimiskai.lt</a>"		
